time;V(V_tia);
0.00815334;1.03095;
0.00815434;1.03095;
0.00815534;1.03095;
0.00815634;1.03095;
0.00815734;1.03095;
0.00815834;1.03095;
0.00815934;1.03095;
0.00816034;1.03095;
0.00816134;1.03095;
0.00816234;1.03095;
0.00816334;1.03095;
0.00816434;1.03095;
0.00816534;1.03095;
0.00816634;1.03095;
0.00816734;1.03095;
0.00816834;1.03095;
0.00816934;1.03095;
0.00817034;1.03095;
0.00817134;1.03095;
0.00817234;1.03095;
0.00817334;1.03095;
0.00817434;1.03095;
0.00817534;1.03095;
0.00817634;1.03095;
0.00817734;1.03095;
0.00817834;1.03095;
0.00817934;1.03095;
0.00818034;1.03095;
0.00818134;1.03095;
0.00818234;1.03095;
0.00818334;1.03095;
0.00818434;1.03095;
0.00818534;1.03095;
0.00818634;1.03095;
0.00818734;1.03095;
0.00818834;1.03095;
0.00818934;1.03095;
0.00819034;1.03095;
0.00819134;1.03095;
0.00819234;1.03095;
0.00819334;1.03095;
0.00819434;1.03095;
0.00819534;1.03095;
0.00819634;1.03095;
0.00819734;1.03095;
0.00819834;1.03095;
0.00819934;1.03095;
0.00820034;1.03095;
0.00820134;1.03095;
0.00820234;1.03095;
0.00820334;1.03095;
0.00820434;1.03095;
0.00820534;1.03095;
0.00820634;1.03095;
0.00820734;1.03095;
0.00820834;1.03095;
0.00820934;1.03095;
0.00821034;1.03095;
0.00821134;1.03095;
0.00821234;1.03095;
0.00821334;1.03095;
0.00821434;1.03095;
0.00821534;1.03095;
0.00821634;1.03095;
0.00821734;1.03095;
0.00821834;1.03095;
0.00821934;1.03095;
0.00822034;1.03095;
0.00822134;1.03095;
0.00822234;1.03095;
0.00822334;1.03095;
0.00822434;1.03095;
0.00822534;1.03095;
0.00822634;1.03095;
0.00822734;1.03095;
0.00822834;1.03095;
0.00822934;1.03095;
0.00823034;1.03095;
0.00823134;1.03095;
0.00823234;1.03095;
0.00823334;1.03095;
0.00823434;1.03095;
0.00823534;1.03095;
0.00823634;1.03095;
0.00823734;1.03095;
0.00823834;1.03095;
0.00823934;1.03095;
0.00824034;1.03095;
0.00824134;1.03095;
0.00824234;1.03095;
0.00824334;1.03095;
0.00824434;1.03095;
0.00824534;1.03095;
0.00824634;1.03095;
0.00824734;1.03095;
0.00824834;1.03095;
0.00824934;1.03095;
0.00825034;1.03095;
0.00825134;1.03095;
0.00825234;1.03095;
0.00825334;1.03095;
0.00825434;1.03095;
0.00825534;1.03095;
0.00825634;1.03095;
0.00825734;1.03095;
0.00825834;1.03095;
0.00825934;1.03095;
0.00826034;1.03095;
0.00826134;1.03095;
0.00826234;1.03095;
0.00826334;1.03095;
0.00826434;1.03095;
0.00826534;1.03095;
0.00826634;1.03095;
0.00826734;1.03095;
0.00826834;1.03095;
0.00826934;1.03095;
0.00827034;1.03095;
0.00827134;1.03095;
0.00827234;1.03095;
0.00827334;1.03095;
0.00827434;1.03095;
0.00827534;1.03095;
0.00827634;1.03095;
0.00827734;1.03095;
0.00827834;1.03095;
0.00827934;1.03095;
0.00828034;1.03095;
0.00828134;1.03095;
0.00828234;1.03095;
0.00828334;1.03095;
0.00828434;1.03095;
0.00828534;1.03095;
0.00828634;1.03095;
0.00828734;1.03095;
0.00828834;1.03095;
0.00828934;1.03095;
0.00829034;1.03095;
0.00829134;1.03095;
0.00829234;1.03095;
0.00829334;1.03095;
0.00829434;1.03095;
0.00829534;1.03095;
0.00829634;1.03095;
0.00829734;1.03095;
0.00829834;1.03095;
0.00829934;1.03095;
0.00830034;1.03095;
0.00830134;1.03095;
0.00830234;1.03095;
0.00830334;1.03095;
0.00830434;1.03095;
0.00830534;1.03095;
0.00830634;1.03095;
0.00830734;1.03095;
0.00830834;1.03095;
0.00830934;1.03095;
0.00831034;1.03095;
0.00831134;1.03095;
0.00831234;1.03095;
0.00831334;1.03095;
0.00831434;1.03095;
0.00831534;1.03095;
0.00831634;1.03095;
0.00831734;1.03095;
0.00831834;1.03095;
0.00831934;1.03095;
0.00832034;1.03095;
0.00832134;1.03095;
0.00832234;1.03095;
0.00832334;1.03095;
0.00832434;1.03095;
0.00832534;1.03095;
0.00832634;1.03095;
0.00832734;1.03095;
0.00832834;1.03095;
0.00832934;1.03095;
0.00833034;1.03095;
0.00833134;1.03095;
0.00833234;1.03095;
0.00833334;1.03095;
0.00833434;1.03095;
0.00833534;1.03095;
0.00833634;1.03095;
0.00833734;1.03095;
0.00833834;1.03095;
0.00833934;1.03095;
0.00834034;1.03095;
0.00834134;1.03095;
0.00834234;1.03095;
0.00834334;1.03095;
0.00834434;1.03095;
0.00834534;1.03095;
0.00834634;1.03095;
0.00834734;1.03095;
0.00834834;1.03095;
0.00834934;1.03095;
0.00835034;1.03095;
0.00835134;1.03095;
0.00835234;1.03095;
0.00835334;1.03095;
0.00835434;1.03095;
0.00835534;1.03095;
0.00835634;1.03095;
0.00835734;1.03095;
0.00835834;1.03095;
0.00835934;1.03095;
0.00836034;1.03095;
0.00836134;1.03095;
0.00836234;1.03095;
0.00836334;1.03095;
0.00836434;1.03095;
0.00836534;1.03095;
0.00836634;1.03095;
0.00836734;1.03095;
0.00836834;1.03095;
0.00836934;1.03095;
0.00837034;1.03095;
0.00837134;1.03095;
0.00837234;1.03095;
0.00837334;1.03095;
0.00837434;1.03095;
0.00837534;1.03095;
0.00837634;1.03095;
0.00837734;1.03095;
0.00837834;1.03095;
0.00837934;1.03095;
0.00838034;1.03095;
0.00838134;1.03095;
0.00838234;1.03095;
0.00838334;1.03095;
0.00838434;1.03095;
0.00838534;1.03095;
0.00838634;1.03095;
0.00838734;1.03095;
0.00838834;1.03095;
0.00838934;1.03095;
0.00839034;1.03095;
0.00839134;1.03095;
0.00839234;1.03095;
0.00839334;1.03095;
0.00839434;1.03095;
0.00839534;1.03095;
0.00839634;1.03095;
0.00839734;1.03095;
0.00839834;1.03095;
0.00839934;1.03095;
0.00840034;1.03095;
0.00840134;1.03095;
0.00840234;1.03095;
0.00840334;1.03095;
0.00840434;1.03095;
0.00840534;1.03095;
0.00840634;1.03095;
0.00840734;1.03095;
0.00840834;1.03095;
0.00840934;1.03095;
0.00841034;1.03095;
0.00841134;1.03095;
0.00841234;1.03095;
0.00841334;1.03095;
0.00841434;1.03095;
0.00841534;1.03095;
0.00841634;1.03095;
0.00841734;1.03095;
0.00841834;1.03095;
0.00841934;1.03095;
0.00842034;1.03095;
0.00842134;1.03095;
0.00842234;1.03095;
0.00842334;1.03095;
0.00842434;1.03095;
0.00842534;1.03095;
0.00842634;1.03095;
0.00842734;1.03095;
0.00842834;1.03095;
0.00842934;1.03095;
0.00843034;1.03095;
0.00843134;1.03095;
0.00843234;1.03095;
0.00843334;1.03095;
0.00843434;1.03095;
0.00843534;1.03095;
0.00843634;1.03095;
0.00843734;1.03095;
0.00843834;1.03095;
0.00843934;1.03095;
0.00844034;1.03095;
0.00844134;1.03095;
0.00844234;1.03095;
0.00844334;1.03095;
0.00844434;1.03095;
0.00844534;1.03095;
0.00844634;1.03095;
0.00844734;1.03095;
0.00844834;1.03095;
0.00844934;1.03095;
0.00845034;1.03095;
0.00845134;1.03095;
0.00845234;1.03095;
0.00845334;1.03095;
0.00845434;1.03095;
0.00845534;1.03095;
0.00845634;1.03095;
0.00845734;1.03095;
0.00845834;1.03095;
0.00845934;1.03095;
0.00846034;1.03095;
0.00846134;1.03095;
0.00846234;1.03095;
0.00846334;1.03095;
0.00846434;1.03095;
0.00846534;1.03095;
0.00846634;1.03095;
0.00846734;1.03095;
0.00846834;1.03095;
0.00846934;1.03095;
0.00847034;1.03095;
0.00847134;1.03095;
0.00847234;1.03095;
0.00847334;1.03095;
0.00847434;1.03095;
0.00847534;1.03095;
0.00847634;1.03095;
0.00847734;1.03095;
0.00847834;1.03095;
0.00847934;1.03095;
0.00848034;1.03095;
0.00848134;1.03095;
0.00848234;1.03095;
0.00848334;1.03095;
0.00848434;1.03095;
0.00848534;1.03095;
0.00848634;1.03095;
0.00848734;1.03095;
0.00848834;1.03095;
0.00848934;1.03095;
0.00849034;1.03095;
0.00849134;1.03095;
0.00849234;1.03095;
0.00849334;1.03095;
0.00849434;1.03095;
0.00849534;1.03095;
0.00849634;1.03095;
0.00849734;1.03095;
0.00849834;1.03095;
0.00849934;1.03095;
0.00850034;1.03095;
0.00850134;1.03095;
0.00850234;1.03095;
0.00850334;1.03095;
0.00850434;1.03095;
0.00850534;1.03095;
0.00850634;1.03095;
0.00850734;1.03095;
0.00850834;1.03095;
0.00850934;1.03095;
0.00851034;1.03095;
0.00851134;1.03095;
0.00851234;1.03095;
0.00851334;1.03095;
0.00851434;1.03095;
0.00851534;1.03095;
0.00851634;1.03095;
0.00851734;1.03095;
0.00851834;1.03095;
0.00851934;1.03095;
0.00852034;1.03095;
0.00852134;1.03095;
0.00852234;1.03095;
0.00852334;1.03095;
0.00852434;1.03095;
0.00852534;1.03095;
0.00852634;1.03095;
0.00852734;1.03095;
0.00852834;1.03095;
0.00852934;1.03095;
0.00853034;1.03095;
0.00853134;1.03095;
0.00853234;1.03095;
0.00853334;1.03095;
0.00853434;1.03095;
0.00853534;1.03095;
0.00853634;1.03095;
